94,House Robber II,1-D Dynamic Programming,Medium,https://www.youtube.com/watch?v=c_rwra1aITY,https://leetcode.com/problems/house-robber-ii/
95,Longest Palindromic Substring,1-D Dynamic Programming,Medium,https://www.youtube.com/watch?v=92KOT17h8zw,https://leetcode.com/problems/longest-palindromic-substring/
96,Palindromic Substrings,1-D Dynamic Programming,Medium,https://www.youtube.com/watch?v=WfkVe8egZbU,https://leetcode.com/problems/palindromic-substrings/
97,Decode Ways,1-D Dynamic Programming,Medium,https://www.youtube.com/watch?v=ayGRvdnjFKg,https://leetcode.com/problems/decode-ways/
98,Coin Change,1-D Dynamic Programming,Medium,https://www.youtube.com/watch?v=UOmlkfWMU6M,https://leetcode.com/problems/coin-change/
99,Maximum Product Subarray,1-D Dynamic Programming,Medium,https://www.youtube.com/watch?v=OuRQ_TCCjsU,https://leetcode.com/problems/maximum-product-subarray/
100,Word Break,1-D Dynamic Programming,Medium,https://www.youtube.com/watch?v=XD9tXO9HW40,https://leetcode.com/problems/word-break/
101,Longest Increasing Subsequence,1-D Dynamic Programming,Medium,https://www.youtube.com/watch?v=cixz99yxgWA,https://leetcode.com/problems/longest-increasing-subsequence/
102,Partition Equal Subset Sum,1-D Dynamic Programming,Medium,,https://leetcode.com/problems/partition-equal-subset-sum/
103,Unique Paths,2-D Dynamic Programming,Medium,https://www.youtube.com/watch?v=klWLMgdMWCY,https://leetcode.com/problems/unique-paths/
104,Longest Common Subsequence,2-D Dynamic Programming,Medium,,https://leetcode.com/problems/longest-common-subsequence/
105,Best Time to Buy And Sell Stock With Cooldown,2-D Dynamic Programming,Medium,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/
106,Coin Change II,2-D Dynamic Programming,Medium,,https://leetcode.com/problems/coin-change-ii/
107,Target Sum,2-D Dynamic Programming,Medium,,https://leetcode.com/problems/target-sum/
108,Interleaving String,2-D Dynamic Programming,Medium,,https://leetcode.com/problems/interleaving-string/
109,Edit Distance,2-D Dynamic Programming,Medium,,https://leetcode.com/problems/edit-distance/
110,Maximum Subarray,Greedy,Medium,https://www.youtube.com/watch?v=nr2djEYM7_A,https://leetcode.com/problems/maximum-subarray/
111,Jump Game,Greedy,Medium,https://www.youtube.com/watch?v=PVNLmjJaHW0,https://leetcode.com/problems/jump-game/
112,Jump Game II,Greedy,Medium,https://www.youtube.com/watch?v=d_1GRnMg_zs,https://leetcode.com/problems/jump-game-ii/
113,Gas Station,Greedy,Medium,,https://leetcode.com/problems/gas-station/
114,Hand of Straights,Greedy,Medium,,https://leetcode.com/problems/hand-of-straights/
115,Merge Triplets to Form Target Triplet,Greedy,Medium,,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/
116,Partition Labels,Greedy,Medium,,https://leetcode.com/problems/partition-labels/
117,Valid Parenthesis String,Greedy,Medium,,https://leetcode.com/problems/valid-parenthesis-string/
118,Insert Interval,Intervals,Medium,https://www.youtube.com/watch?v=16YiKk6ga7Y,https://leetcode.com/problems/insert-interval/
119,Merge Intervals,Intervals,Medium,https://www.youtube.com/watch?v=n3F2v9f8OfY,https://leetcode.com/problems/merge-intervals/
120,Non Overlapping Intervals,Intervals,Medium,https://www.youtube.com/watch?v=y8nBFmPsAF8,https://leetcode.com/problems/non-overlapping-intervals/
121,Meeting Rooms II,Intervals,Medium,https://www.youtube.com/watch?v=sQkgNfoPrDw,https://leetcode.com/problems/meeting-rooms-ii/
122,Rotate Image,Math & Geometry,Medium,https://www.youtube.com/watch?v=dF1E3G9wBCw,https://leetcode.com/problems/rotate-image/
123,Spiral Matrix,Math & Geometry,Medium,https://www.youtube.com/watch?v=xUpnTpzMqfI,https://leetcode.com/problems/spiral-matrix/
124,Set Matrix Zeroes,Math & Geometry,Medium,https://www.youtube.com/watch?v=JwQvyZcwcP4,https://leetcode.com/problems/set-matrix-zeroes/
125,Pow(x n),Math & Geometry,Medium,,https://leetcode.com/problems/powx-n/
126,Multiply Strings,Math & Geometry,Medium,,https://leetcode.com/problems/multiply-strings/
127,Detect Squares,Math & Geometry,Medium,,https://leetcode.com/problems/detect-squares/
128,Sum of Two Integers,Bit Manipulation,Medium,https://www.youtube.com/watch?v=oQqe3N2aSd4,https://leetcode.com/problems/sum-of-two-integers/
129,Reverse Integer,Bit Manipulation,Medium,,https://leetcode.com/problems/reverse-integer/
130,Trapping Rain Water,Two Pointers,Hard,https://www.youtube.com/watch?v=AFl_VxaO_F0,https://leetcode.com/problems/trapping-rain-water/
131,Minimum Window Substring,Sliding Window,Hard,https://www.youtube.com/watch?v=tMx5JZSBWIE,https://leetcode.com/problems/minimum-window-substring/
